dreg	ab	as	riskav	horizon	age	age2	nwhite	female	college	married	children	empl	selfempl	retired	advisor	wkfinance	health_exc	nfininst	future_bett	w95	w98	w01	w04	w07	w10	w13	w16	effcohort	spret	vix	inco	inco2	wthfin	wthfin2	wthreal	wthreal2	debt	debt2	home	peso
1	0	.9108609	1	4	.5	.25	0	0	1	1	1	0	1	0	0	0	1	9	0	1	0	0	0	0	0	0	0	.1300181	.1011292	13.70222	.3879798	.1505283	3.110994	9.678283	3.329105	11.08294	0	0	1	91.76292
1	0	.5211103	2	3	.68	.4624	0	0	1	1	0	0	0	1	0	0	1	8	0	1	0	0	0	0	0	0	0	.1286907	.1011292	13.70222	.001399	1.96e-06	.6628426	.4393603	1.188239	1.411913	.1731126	.029968	1	1102.11
1	.2352941	.2720588	3	3	.38	.1444	0	0	1	1	1	1	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	.1341408	.1011292	13.70222	.2151114	.0462729	.1856494	.0344657	.3674169	.1349952	.0582689	.0033953	1	310.5277
2	.0055429	0	1	4	.48	.2304	0	0	1	1	1	0	1	0	0	1	1	50	0	1	0	0	0	0	0	0	0	.1302393	.1011292	13.70222	1.031546	1.064087	1.835457	3.368904	3.226177	10.40822	.92092	.8480937	1	147.8441
1	.3053585	.5710734	1	4	.56	.3136	0	0	1	1	1	0	1	0	0	1	1	20	1	1	0	0	0	0	0	0	0	.1298961	.1011292	13.70222	1.982931	3.932014	2.145373	4.602627	4.036458	16.29299	.6605207	.4362876	1	77.50262
1	0	.7331033	2	3	.47	.2209	0	0	0	1	1	0	1	0	0	1	0	6	0	1	0	0	0	0	0	0	0	.1303443	.1011292	13.70222	0	0	.4667057	.2178142	.7420952	.5507053	0	0	1	420.5495
2	.25	0	2	3	.36	.1296	0	0	1	1	1	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	.1358096	.1011292	13.70222	.2151114	.0462729	.1133287	.0128434	.6523251	.425528	0	0	1	7014.845
1	.4728507	.0056561	1	3	.64	.4096	0	0	0	1	0	0	1	0	0	0	1	6	1	1	0	0	0	0	0	0	0	.1293246	.1011292	13.70222	.076961	.005923	.0847087	.0071756	1.475404	2.176816	.1646666	.0271151	1	10473.33
1	.0693866	.7632529	1	3	.7	.49	0	0	1	1	0	0	0	1	0	0	1	9	1	1	0	0	0	0	0	0	0	.128407	.1011292	13.70222	.0227395	.0005171	.8924897	.7965379	1.848644	3.417483	.463734	.2150493	1	766.9962
1	.076555	.4141627	2	4	.56	.3136	0	0	1	1	0	0	1	0	0	0	0	7	0	1	0	0	0	0	0	0	0	.1298961	.1011292	13.70222	.4054651	.1644019	1.2844	1.649684	2.436897	5.938468	1.015231	1.030693	1	167.7789
